Область,Індекс та номер дороги,Код КОАТУУ області,Довжина (протяжність) дороги (км),Найменування дороги,Найменша ширина земляного полотна (м),"Територіальний статус (обласна, районна)"
Вінницька,О021201,0500000000,18.8,Могилів-Подільський-Конева-Сугаки,10.0,обласна
Вінницька,О021202,0500000000,16.7,Хоньківці-Козлів-Липчани,8.0,обласна
Вінницька,О021203,0500000000,24.077,Юрківці-Лядова,6.0,обласна
Вінницька,О021204,0500000000,60.038,Вендичани-Чернівці-Томашпіль,8.0,обласна
Вінницька,О021205,0500000000,34.62,Конева-Кукавка-Ломозів,9.6,обласна
Вінницька,О021207,0500000000,27.92,Коштуля-Грушка-Суботівка,8.5,обласна
Вінницька,О021208,0500000000,8.4,Могилів-Подільський-Суботівка,10.0,обласна
Вінницька,О021301,0500000000,15.1,Муровані Курилівці-Кукурівка,8.0,обласна
Вінницька,О021302,0500000000,3.0,(Гулі-Муровані Курилівці)-Петримани,8.0,обласна
Вінницька,О021303,0500000000,45.444,Шаргород-Вищеольчедаїв-Конищів,8.0,обласна
Вінницька,О021306,0500000000,28.645,Вищеольчедаїв-Дружба-Наддністрянське,4.0,обласна
Вінницька,О021307,0500000000,18.316, Горай-Плоске-Сугаки,4.5,обласна
Вінницька,О021401,0500000000,12.6,Немирів-Рачки-Криківці,10.0,обласна
Вінницька,О021402,0500000000,5.1,Немирів-Мухівці,10.0,обласна
Вінницька,О021403,0500000000,28.462,Немирів-Іллінці,10.0,обласна
Вінницька,О021404,0500000000,26.9,Обідне-Ковалівка-станція Кароліна,10.0,обласна
Вінницька,О021406,0500000000,25.8,Червоне-Ситківці-Буди,10.0,обласна
Вінницька,О021407,0500000000,25.4,Рубань-Ометинці,10.0,обласна
Вінницька,О021501,0500000000,15.8,Оратів-Ступки-Коритня-станція Монастирище-Монастирище,10.0,обласна
Вінницька,О021502,0500000000,20.402,Медівка-Новоживотів,4.5,обласна
Вінницька,О021503,0500000000,26.83,станція Оратів - Юшківці,10.0,обласна
Вінницька,О021504,0500000000,12.934,Фронтівка-Балабанівка-Цибулів,6.0,обласна
Вінницька,О021601,0500000000,8.396,Піщанка-Миролюбівка,10.0,обласна
Вінницька,О021602,0500000000,25.735,Грабарівка-Студенна-Баштанків,10.0,обласна
Вінницька,О021603,0500000000,11.42,Болган-Грабарівка,7.5,обласна
Вінницька,О021604,0500000000,10.451,Попелюхи-Рудниця-Городище,10.0,обласна
Вінницька,О021605,0500000000,7.52,Попелюхи-Гонорівка,9.0,обласна
Вінницька,О021606,0500000000,6.53,Піщанка-Брохвичі-Гонорівка,10.0,обласна
Вінницька,О021607,0500000000,34.18,Піщанка-Чечельник,10.0,обласна
Вінницька,О021701,0500000000,24.33,Погребище-Ширмівка-Соснівка,10.0,обласна
Вінницька,О021702,0500000000,23.648,Плисків-Якимівка,10.0,обласна
Вінницька,О021703,0500000000,8.4,станція Погребище-Адамівка-Розкопане-Барвінкове,10.0,обласна
Вінницька,О021704,0500000000,13.1,Очеретня-Плисків,10.0,обласна
Вінницька,О021705,0500000000,59.775,Границя Житомирської області - Погребище-Іллінці,8.2,обласна
Вінницька,О021801,0500000000,7.0,/Краснопілка-Теплик-Бершадь-Саврань/-Тополівка,11.0,обласна
Вінницька,О021802,0500000000,14.715,Теплик-Комарівка,9.0,обласна
Вінницька,О021804,0500000000,18.722,Теплик-Росоша-Погоріла,4.5,районна
Вінницька,О021805,0500000000,21.48,Метанівка-Бджільна,5.0,обласна
Вінницька,О021901,0500000000,6.742,Томашпіль-Ракова-Яришівка,10.0,обласна
Вінницька,О021902,0500000000,6.3,Томашпіль-Пеньківка,10.0,обласна
Вінницька,О021904,0500000000,17.8,Джурин-Рожнятівка-Пилипи Борівські,6.0,обласна
Вінницька,О021905,0500000000,39.728,Горишківка-Томашпіль-Нетребівка,9.0,обласна
Вінницька,О021907,0500000000,31.957,Яланець-Ратуш-Цекинівка,8.0,обласна
Вінницька,О021908,0500000000,10.27,Нетребівка-Савчине,10.0,обласна
