Область,Індекс та номер дороги,Код КОАТУУ області,Довжина (протяжність) дороги (км),Найменування дороги,Найменша ширина земляного полотна (м),"Територіальний статус (обласна, районна)"
Донецька,,1400000000,4.2,Від //Криворіжжя -/на Костянтинівку// - Новоторецьке/ - Коптєве км 0+000 - км 4+200,6.0,районна
Донецька,,1400000000,3.0,Вільне - Нове Шахове км 0+000 - км 3+000,6.0,районна
Донецька,,1400000000,3.8,Від //Криворіжжя - /на Костянтинівку// - Новоторецьке/ - Суворове км 0+000 - км 3+800,7.0,районна
Донецька,,1400000000,2.7,Від /Т-05-15/ - Новий Донбас км 0+000 - км 2+700,6.0,районна
Донецька,,1400000000,4.6,Новий Донбас -  Нове Шахове км 0+000 - км 4+600,6.0,районна
Донецька,,1400000000,2.5,Від /Т-05-15/ - Водяне Друге км 0+000 - км 2+500,6.0,районна
Донецька,,1400000000,5.0,Обхід м. Добропілля км 0+000 - км 5+000,6.0,районна
Донецька,,1400000000,3.4,Мар'ївка - /Добропілля -  Лиман/ км 0+000 - км 3+400,6.0,районна
Донецька,,1400000000,11.5,с. Добропілля - Дев'яте Січня км 0+000 - км 11+500,7.0,районна
Донецька,,1400000000,6.2,Добропілля - Новогришине – Надія км 0+000 - км 6+200,6.0,районна
Донецька,,1400000000,5.9,Новокриворіжжя - Криворіжжя км 0+000 - км 5+900,6.0,районна
Донецька,,1400000000,6.0,Від /Новокриворіжжя - Криворіжжя/ - Зелене км 0+000 - км 6+000,4.5,районна
Донецька,,1400000000,8.4,Завидо - Кудашеве - Святогорівка км 0+000 - км 8+400,5.0,районна
Донецька,,1400000000,3.8,Ракша - Святогорівка км 0+000 - км 3+800,6.0,районна
Донецька,,1400000000,0.8,Новоукраїнка - /Т-05-15/ км 0+000 - км 0+800,6.0,районна
Донецька,,1400000000,7.5,Весна – Нововодяне км 0+000 - км 7+500,6.0,районна
Донецька,,1400000000,4.9,Лідине - Новотроїцьке км 0+000 - км 4+900,6.0,районна
Донецька,,1400000000,2.2,Обхід с. Ганнівка км 0+000 - км 2+200,6.0,районна
Донецька,,1400000000,7.2,Грузьке - /Торецьке - Шахове / км 0+000 - км 7+200,6.0,районна
Донецька,,1400000000,11.3,Торецьке - Шахове км 0+000 - км 11+300,6.0,районна
Донецька,,1400000000,48.7,Юр'ївка - Грузьке км 0+000 - км 48+700,6.0,районна
Донецька,,1400000000,40.4,Криворіжжя - /на Костянтинівку/ км 0+000 - км 40+400,6.0,районна
Донецька,,1400000000,13.4,Від /Криворіжжя -/на Костянтинівку// - Новоторецьке км 0+000 - км 13+400,6.0,районна
Донецька,,1400000000,13.6,Ганнівка - Золотий Колодязь км 0+000 - км 13+600,6.0,районна
Донецька,,1400000000,14.5,Вздовж каналу Дніпро - Донбас км 0+000 - км 14+500,6.0,районна
Донецька,,1400000000,4.6,Від /Т-05-15/ - с. Добропілля км 0+000 - км 4+600,7.0,районна
Донецька,,1400000000,7.4,Від /Т-05-15/ - /Криворіжжя - /на Костянтинівку// км 0+000 - км 7+400,6.0,районна
Донецька,,1400000000,2.7,Обхід с. Добропілля км 0+000 - км 2+700,6.0,районна
Донецька,,1400000000,1.1,Костянтинівка - Молочарка км 0+000 - км 1+100,6.0,районна
Донецька,,1400000000,5.7,Безіменне - Клинове - Віролюбівка км 0+000 - км 5+700,6.0,районна
Донецька,,1400000000,2.5,Попасне - Віролюбівка км 0+000 - км 2+500,6.0,районна
Донецька,,1400000000,3.9,Диліївка - Біла Гора км 0+000 - км 3+900,6.0,районна
Донецька,,1400000000,7.9,Від /Н-32/ - /на Воздвиженку// - Водяне Друге - Тарасівка км 0+000 - км 7+900,6.0,районна
Донецька,,1400000000,7.4,Від /Вздовж каналу Дніпро - Донбас/ - Червоне км 0+000 - км 7+400,6.0,районна
Донецька,,1400000000,10.4,Куртівка - /на Новодмитрівку/ км 0+000 - км 10+400,4.5,районна
Донецька,,1400000000,7.1,Білокузьминівка - Віролюбівка км 0+000 - км 7+100,5.0,районна
Донецька,,1400000000,8.5,Катеринівка - Петрівка км 0+000 - км 8+500,6.0,районна
Донецька,,1400000000,2.0,Від /Н-32/ - Яблунівка км 0+000 - км 2+000,6.0,районна
Донецька,,1400000000,1.2,Майське - /Костянтинівка - Маркове/ км 0+000 - км 1+200,6.0,районна
Донецька,,1400000000,1.0,Іжевка - Віролюбівка км 0+000 - км 1+000,6.0,районна
Донецька,,1400000000,1.5,Дружківка - Новогригорівка км 0+000 - км 1+500,6.0,районна
Донецька,,1400000000,3.2,Приют - / Софіївка -Дружківка/ км 0+000 - км 3+200,6.0,районна
Донецька,,1400000000,4.0,ст. Диліївка - Торецьк км 0+000 - км 4+000,6.0,районна
Донецька,,1400000000,5.2,Іванопілля - Олександро-Шультине км 0+000 - км 5+200,6.0,районна
Донецька,,1400000000,9.3,Дружба - Зорянівка км 0+000 - км 9+300,6.0,районна
Донецька,,1400000000,6.2,Від /Н-32/ - Предтечине км 0+000 - км 6+200,4.0,районна
Донецька,,1400000000,1.1,Від / Н-32/-Новооленівка км 0+000 - км 1+100,6.0,районна
Донецька,,1400000000,3.2,Від /Н-20/-Куртівка км 0+000 - км 3+200,6.0,районна
Донецька,,1400000000,3.5,Шевченко-Калинове км 0+000 - км 3+500,6.0,районна
Донецька,,1400000000,27.4,Дружківка - Білокузьминівка - Пугачівка км 0+000 - км 27+400,6.0,районна
Донецька,,1400000000,15.8,Від /Костянтинівка - Маркове/ - /на Часів Яр/ км 0+000 - км 15+800,6.0,районна
Донецька,,1400000000,4.4,Калинове - /Н-20/ км 0+000 - км 4+400,6.0,районна
Донецька,,1400000000,17.9,Яблунівка - /Н-20/ км 0+000 - км 17+900,6.0,районна
Донецька,,1400000000,27.1,Від /Н-32/ - Олександропіль - Романівка км 0+000 - км 27+100,6.0,районна
Донецька,,1400000000,23.0,Від /Вздовж каналу Дніпро-Донбас/ - Русин Яр - /Н-32/ км 0+000 - км 23+000,6.0,районна
Донецька,,1400000000,24.6,Софіївка - Дружківка км 0+000 - км 24+600,6.0,районна
Донецька,,1400000000,27.6,Гірник - Степанівка - /Н-32/ км 0+000 - км 27+600,6.0,районна
Донецька,,1400000000,11.7,Зоря – Стара Миколаївка - Гнатівка км 0+000 - км 11+700,6.0,районна
Донецька,,1400000000,1.6,Від /Н-32/ - Балаган км 0+000 - км 1+600,6.0,районна
Донецька,,1400000000,10.5,Новоекономічне - Разіне - Федорівка км 0+000 - км 10+500,6.0,районна
Донецька,,1400000000,5.3,Малинівка – Шевченко Перше км 0+000 - км 5+300,6.0,районна
Донецька,,1400000000,0.7,Від /Н-32/ - Мирне км 0+000 - км 0+700,6.0,районна
Донецька,,1400000000,5.1,Від /Н-32/ - Воздвиженка км 0+000 - км 5+100,6.0,районна
Донецька,,1400000000,4.2,Новоолександрівка - Баранівка км 0+000 - км 4+200,6.0,районна
Донецька,,1400000000,11.3,Від /О0544/ - Тимофіївка - Воздвиженка км 0+000 - км 11+300,6.0,районна
Донецька,,1400000000,7.6,Від /О0544/ - Сергіївка - ст. Желанна км 0+000 - км 7+600,6.0,районна
Донецька,,1400000000,1.7,Іванівка - Омелянівка км 0+000 - км 1+700,6.0,районна
Донецька,,1400000000,8.8,Від /О0544/ - Свиридонівка - Новоторецьке км 0+000 - км 8+800,6.0,районна
Донецька,,1400000000,2.7,Від /О0544/ - Промінь - Московське км 0+000 - км 2+700,6.0,районна
Донецька,,1400000000,3.3,Від /О0544/ - Лисичне км 0+000 - км 3+300,6.0,районна
Донецька,,1400000000,1.5,Від /О0544/ - Лозоватське км 0+000 - км 1+500,6.0,районна
Донецька,,1400000000,3.4,Від /О0544/ - Миколаївка км 0+000 - км 3+400,6.0,районна
Донецька,,1400000000,3.5,Журавка - Красний Яр - Крутий Яр км 0+000 - км 3+500,6.0,районна
Донецька,,1400000000,1.4,Новотроїцьке - Степанівка км 0+000 - км 1+400,6.0,районна
Донецька,,1400000000,2.2,Новожеланне - Желанне км 0+000 - км 2+200,6.0,районна
Донецька,,1400000000,7.8,Від /О0544/ - Євгенівка км 0+000 - км 7+800,6.0,районна
Донецька,,1400000000,21.6,Троїцьке - радг.Селидівський - Пушкіне км 0+000 - км 21+600,6.0,районна
Донецька,,1400000000,3.1,Горіхове - Селидове - Пушкіне км 0+000 - км 3+100,6.0,районна
Донецька,,1400000000,1.5,Новожеланне - Завітне км 0+000 - км 1+500,6.0,районна
Донецька,,1400000000,8.6,Зоря - Олександрівка км 0+000 - км 8+600,6.0,районна
Донецька,,1400000000,3.0,Від /О0544/ - Прогрес км 0+000 - км 3+000,6.0,районна
Донецька,,1400000000,2.0,Від /Т-04-06/ - Котлине км 0+000 - км 2+000,6.0,районна
Донецька,,1400000000,4.5,Від /Т-04-06/ - Миколаївка км 0+000 - км 4+500,6.0,районна
Донецька,,1400000000,5.8,Преображенка - 3апоріжжя км 0+000 - км 5+800,6.0,районна
Донецька,,1400000000,5.3,Пустинка – Юр’ївка - Новоолексіївка км 0+000 - км 5+300,6.0,районна
Донецька,,1400000000,4.0,Від /Т-04-06/ - Молодецьке км 0+000 - км 4+000,6.0,районна
Донецька,,1400000000,6.8,Селидове - Берестки - Красна Зоря - Новодмитрівка км 0+000 - км 6+800,6.0,районна
Донецька,,1400000000,5.2,Новотроїцьке - Селидове - /на Одрадне/ км 0+000 - км 5+200,6.0,районна
Донецька,,1400000000,1.8,Селидове - Горіхове - Новоандріївка км 0+000 - км 1+800,6.0,районна
Донецька,,1400000000,16.3,Новосергіївка - Романівка - Солоне - Піщане - Звірове км 0+000 - км 16+300,6.0,районна
Донецька,,1400000000,0.7,Від /Т-05-15/ - Звірове км 0+000 - км 0+700,6.0,районна
Донецька,,1400000000,1.9,Покровськ - Гришине км 0+000 - км 1+900,6.0,районна
Донецька,,1400000000,7.2,Рівне - Родинське – Красний Лиман км 0+000 - км 7+200,7.0,районна
Донецька,,1400000000,4.7,Від /Н-32/ - Новоекономічне км 0+000 - км 4+700,6.0,районна
Донецька,,1400000000,5.2,Від /Н-32/ - Малинівка км 0+000 - км 5+200,6.0,районна
Донецька,,1400000000,14.2,Новоекономічне - Миролюбівка - Єлизаветівка км 0+000 - км 14+200,6.0,районна
Донецька,,1400000000,10.5,Від /О0544/ - Журавка - Миколаївка км 0+000 - км 10+500,6.0,районна
Донецька,,1400000000,1.5,Від /О0544/ - Іванівка км 0+000 - км 1+500,6.0,районна
Донецька,,1400000000,7.5,Від /М-04/ - Сухий Яр - Лисівка км 0+000 - км 7+500,6.0,районна
Донецька,,1400000000,15.5,Новотроїцьке - Жовте - Пустинка - Григорівка - Селидове км 0+000 - км 15+500,6.0,районна
Донецька,,1400000000,5.3,Покровськ - Шевченко км 0+000 - км 5+300,6.0,районна
Донецька,,1400000000,10.3,Новоолександрівка - Новотроїцьке км 0+000 - км 10+300,6.0,районна
Донецька,,1400000000,1.8,Від /М-04/ - Михайлівка км 0+000 - км 1+800,6.0,районна
Донецька,,1400000000,3.2,Від /М-04/ - під'їзд до м.Новогродівка км 0+000 - км 3+200,6.0,районна
Донецька,,1400000000,3.2,Від /М-04/ - під'їзд до м.Українськ км 0+000 - км 3+200,6.0,районна
Донецька,,1400000000,2.8,Від /М-04/ - під'їзд до м.Селидове км 0+000 - км 2+800,6.0,районна
Донецька,,1400000000,2.8,Селидове - Гірник - Максимільянівка км 0+000 - км 2+800,6.0,районна
Донецька,,1400000000,2.9,Від /М-04/ - Гришине км 0+000 - км 2+900,6.0,районна
Донецька,,1400000000,24.3,Селидове - Сонцівка - Ларенка - Берестки км 0+000 - км 24+300,6.0,районна
Донецька,,1400000000,1.8,Селидове - Горіхове - Богданівка км 0+000 - км 1+800,6.0,районна
Донецька,,1400000000,28.6,Селидове - Ясенове - Горіхове км 0+000 - км 28+600,6.0,районна
Донецька,,1400000000,2.7,Від /Т-05-15/ - Новоукраїнка - Горіхове - Селидове км 0+000 - км 2+700,6.0,районна
Донецька,,1400000000,2.6,Від /М-04/ - Лисівка - Новогродівка км 0+000 - км 2+600,6.0,районна
Донецька,,1400000000,1.6,Селидове - Горіхове - ст.Селидове км 0+000 - км 1+600,6.0,районна
Донецька,,1400000000,14.1,Удачне - Муравка км 0+000 - км 14+100,6.0,районна
Донецька,,1400000000,1.8,Від /Т-04-06/ - Перше Травня км 0+000 - км 1+800,6.0,районна
Донецька,,1400000000,5.8,Від /М-04/ - Сергіївка км 0+000 - км 5+800,6.0,районна
Донецька,,1400000000,21.3,Від /М-04/ - Калинівка - Сергіївка - Удачне км 0+000 - км 21+300,6.0,районна
Донецька,,1400000000,3.3,Від /Селидове - Максимільянівка/ -Українськ км 0+000 - км 3+300,6.0,районна
Донецька,,1400000000,1.8,Від /Н-32/ - Михайлівка км 0+000 - км 1+800,6.0,районна
Донецька,,1400000000,0.8,Від /М-04/ - Ріг км 0+000 - км 0+800,6.0,районна
Донецька,,1400000000,0.8,Від /М-04/ - Гнатівка км 0+000 - км 0+800,6.0,районна
Донецька,,1400000000,2.0,Від /М-04/ - Троянда км 0+000 - км 2+000,6.0,районна
Донецька,,1400000000,1.5,Від /М-04/ - Новопавлівка км 0+000 - км 1+500,6.0,районна
Донецька,,1400000000,12.1,Від /М-04/ - Комишівка км 0+000 - км 12+100,6.0,районна
Донецька,,1400000000,4.0,Від /М-04/ - Новий Труд км 0+000 - км 4+000,6.0,районна
Донецька,,1400000000,1.2,Від /М-04/ - Даченське км 0+000 - км 1+200,6.0,районна
Донецька,,1400000000,3.0,Від /М-04/ - /на Одрадне/ км 0+000 - км 3+000,6.0,районна
Донецька,,1400000000,1.4,Від /М-04/ - Маринівка км 0+000 - км 1+400,6.0,районна
Донецька,,1400000000,3.8,Від /М-04/ - Мемрик км 0+000 - км 3+800,6.0,районна
Донецька,,1400000000,2.4,Від /М-04/ - Галицинівка км 0+000 - км 2+400,6.0,районна
Донецька,,1400000000,1.6,Від /М-04/ - Новоукраїнка км 0+000 - км 1+600,6.0,районна
Донецька,,1400000000,7.8,Від /М-04/ - Миколаївка - Новожеланне км 0+000 - км 7+800,6.0,районна
Донецька,,1400000000,9.0,Від /М-04/ - Гришине - Малинівка км 7+780 - км 16+780,6.0,районна
Донецька,,1400000000,8.8,Шандриголове - Зелена Долина км 0+000 - км 8+800,6.0,районна
Донецька,,1400000000,10.5,Ставки - Іванівка км 0+000 - км 10+500,6.0,районна
Донецька,,1400000000,7.1,Катеринівка - Нове - Липове км 0+000 - км 7+100,6.0,районна
Донецька,,1400000000,6.5,Лозове - Вовчий Яр км 0+000 - км 6+500,6.0,районна
Донецька,,1400000000,4.3,Діброва - /Т-05-13/ км 0+000 - км 4+300,6.0,районна
Донецька,,1400000000,3.3,Від /Т-05-14/ - Брусівка км 0+000 - км 3+300,6.0,районна
Донецька,,1400000000,1.6,Від / Лиман - Новомихайлівка/ - Нове км 0+000 - км 1+600,6.0,районна
Донецька,,1400000000,1.0,Від / Лиман - Лозове/ - Дерилове км 0+000 - км 1+000,6.0,районна
Донецька,,1400000000,1.6,Від / Лиман - Лозове/ - Лозове км 0+000 - км 1+600,6.0,районна
Донецька,,1400000000,2.1,Від / Лиман - Лозове/ - Середнє км 0+000 - км 2+100,6.0,районна
Донецька,,1400000000,4.1,Від /Олександрівка - Рідкодуб/ - Карпівка км 0+000 - км 4+100,6.0,районна
Донецька,,1400000000,5.8,Від / Лиман - Новосадове/ - Торське км 0+000 - км 5+800,6.0,районна
Донецька,,1400000000,2.3,Від /Ставки - Іванівка/ - Білогорівка км 0+000 - км 2+300,6.0,районна
Донецька,,1400000000,4.3,Святогірськ - Новоселівка - /на Студенок/ км 0+000 - км 4+300,6.0,районна
Донецька,,1400000000,1.2,Кримки - /Лозове - Олександрівка/ км 0+000 - км 1+200,6.0,районна
Донецька,,1400000000,9.1,Торське - Кремінне км 0+000 - км 9+100,6.0,районна
Донецька,,1400000000,19.0,Святогірськ - Олександрівка - Новоселівка км 0+000 - км 19+000,6.0,районна
Донецька,,1400000000,13.5,Святогірськ - Ярова - Новоселівка км 0+000 - км 13+500,6.0,районна
Донецька,,1400000000,11.0,Від /Т-05-13/ - Закітне - /на Рай-Олександрівку/ км 0+000 - км 11+000,6.0,районна
Донецька,,1400000000,21.4,Олександрівка - Коровій Яр - Рідкодуб км 0+000 - км 21+400,6.0,районна
Донецька,,1400000000,17.6,Дробишеве - Зарічне км 0+000 - км 17+600,6.0,районна
Донецька,,1400000000,13.8,Лозове - Рубці - Олександрівка км 0+000 - км 13+800,6.0,районна
Донецька,,1400000000,18.8,Зарічне- Ямпіль -Озерне - Крива Лука км 0+000 - км 18+800,6.0,районна
Донецька,,1400000000,5.8,Ярова - Дробишеве км 0+000 - км 5+800,6.0,районна
Донецька,,1400000000,2.9,Від /Лозове - Олександрівка/ - Яцьківка км 0+000 - км 2+900,6.0,районна
Донецька,,1400000000,6.8,Лиман - /на Маяки/ км 0+000 - км 6+800,6.0,районна
Донецька,,1400000000,8.4,Лиман - Щурове км 0+000 - км 8+400,6.0,районна
Донецька,,1400000000,7.0,Лиман - /Т-05-14/ км 0+000 - км 7+000,6.0,районна
Донецька,,1400000000,2.8,Мар'їнка - /Н-15/ км 0+000 - км 2+800,6.0,районна
Донецька,,1400000000,23.9,Водяне - /Н-20/ км 0+000 - км 23+900,6.0,районна
Донецька,,1400000000,6.1,Костянтинівка - Парасковіївка км 0+000 - км 6+100,6.0,районна
Донецька,,1400000000,29.9,Зеленівка - /Донецьк - Старомлинівка/ км 0+000 - км 29+900,6.0,районна
Донецька,,1400000000,1.6,Павлівка - /Донецьк - Старомлинівка/ км 0+000 - км 1+600,6.0,районна
Донецька,,1400000000,3.4,Курахове - Дальнє км 0+000 - км 3+400,6.0,районна
Донецька,,1400000000,4.2,Курахове - Гостре км 0+000 - км 4+200,6.0,районна
Донецька,,1400000000,4.9,Цукурине - Курахове - під'їзд до Степанівки км 0+000 - км 4+900,6.0,районна
Донецька,,1400000000,5.6,Вознесенка - Новоселидівка км 0+000 - км 5+600,6.0,районна
Донецька,,1400000000,3.7,Вознесенка - Кремінна Балка км 0+000 - км 3+700,6.0,районна
Донецька,,1400000000,2.6,Новоселидівка - Вовченка - Гірник км 0+000 - км 2+600,5.0,районна
Донецька,,1400000000,1.4,Долинівка - / М-04/ - /Н-15/ км 0+000 - км 1+400,6.0,районна
Донецька,,1400000000,1.6,Олександрівка - /Н-15/ км 0+000 - км 1+600,6.0,районна
Донецька,,1400000000,6.7,Олександрівка - /Мар'їнка - Ольгінка з обходом с. Новомихайлівка/ км 0+000 - км 6+700,6.0,районна
Донецька,,1400000000,2.0,Парасковіївка - Новомихайлівка км 0+000 - км 2+000,6.0,районна
Донецька,,1400000000,1.6,Антонівка - Катеринівка км 0+000 - км 1+600,6.0,районна
Донецька,,1400000000,1.3,Іллінка - Єлизаветівка км 0+000 - км 1+300,6.0,районна
Донецька,,1400000000,1.7,Романівка - Єлизаветівка км 0+000 - км 1+700,6.0,районна
Донецька,,1400000000,1.7,Ганнівка - Веселий Гай км 0+000 - км 1+700,6.0,районна
Донецька,,1400000000,5.1,Успенівка - Трудове км 0+000 - км 5+100,5.0,районна
Донецька,,1400000000,7.0,Максимівка - Новоукраїнка км 0+000 - км 7+000,6.0,районна
Донецька,,1400000000,7.6,Дачне – Костянтинопольське км 0+000 - км 7+600,6.0,районна
Донецька,,1400000000,1.0,Максимільянівка - /Н-15/ км 0+000 - км 1+000,6.0,районна
Донецька,,1400000000,1.3,Плодове - Дачне км 0+000 - км 1+300,6.0,районна
Донецька,,1400000000,2.0,Старі Терни - Курахове км 0+000 - км 2+000,6.0,районна
Донецька,,1400000000,3.1,Курахівка - Вовченка км 0+000 - км 3+100,6.0,районна
Донецька,,1400000000,2.0,Кремінна Балка - Новоселидівка км 0+000 - км 2+000,6.0,районна
Донецька,,1400000000,8.5,Новоселидівка - Ізмайлівка - Вовченка км 0+000 - км 8+500,6.0,районна
Донецька,,1400000000,3.9,Георгіївка - /Н-15/ км 0+000 - км 3+900,6.0,районна
Донецька,,1400000000,16.1,Курахівка - Зоряне - Старомихайлівка км 0+000 - км 16+100,6.0,районна
Донецька,,1400000000,14.1,Донецьк - Луганське - Оленівка км 0+000 - км 14+100,6.0,районна
Донецька,,1400000000,6.1,Пречистівка - Оленівка - Степне км 0+000 - км 6+100,6.0,районна
Донецька,,1400000000,57.6,Пречистівка - Оленівка км 0+000 - км 57+600,6.0,районна
Донецька,,1400000000,17.7,Добровілля - Єгорівка км 0+000 - км 17+700,6.0,районна
Донецька,,1400000000,6.3,Гірник - Лісівка км 0+000 - км 6+300,6.0,районна
Донецька,,1400000000,16.5,Селидове - Гірник - Максимільянівка км 8+000 - км 24+500,6.0,районна
Донецька,,1400000000,19.5,Від /М-04/ - Красногорівка км 0+000 - км 19+500,4.5,районна
Донецька,,1400000000,17.7,Від /М-04/ - /Н-15/ км 0+000 - км 17+700,6.0,районна
Донецька,,1400000000,4.6,Качкарі - Качкарське км 0+000 - км 4+600,6.0,районна
Донецька,,1400000000,3.2,Щербак - /на Максимове/ км 0+000 - км 3+200,6.0,районна
Донецька,,1400000000,1.3,Від /Т-05-08/ - Козлівка км 0+000 - км 1+300,4.5,районна
Донецька,,1400000000,0.7,Гусельщикове - /Т-05-08/ км 0+000 - км 0+700,6.0,районна
Донецька,,1400000000,1.5,Щербак - /на Кам'януватку/ км 0+000 - км 1+500,6.0,районна
Донецька,,1400000000,0.8,Нова Таврія - Заїченко - Саханка км 0+000 - км 0+800,6.0,районна
Донецька,,1400000000,0.4,Сергіївка - Заїченко - Саханка км 0+000 - км 0+400,6.0,районна
Донецька,,1400000000,1.0,Веденське - / Хрещатицьке - Безіменне/ км 0+000 - км 1+000,6.0,районна
Донецька,,1400000000,3.0,Самійлове - Ванюшкине км 0+000 - км 3+000,6.0,районна
Донецька,,1400000000,0.7,Троїцьке - Калинівка км 0+000 - км 0+700,6.0,районна
Донецька,,1400000000,2.5,Приморське - Варавине км 0+000 - км 2+500,6.0,районна
Донецька,,1400000000,4.5,Первомайське - Приморське км 0+000 - км 4+500,6.0,районна
Донецька,,1400000000,2.3,Від /Т-05-08/ - Василівка км 0+000 - км 2+300,6.0,районна
Донецька,,1400000000,4.2,Від /Т-05-08/ - Вітава км 0+000 - км 4+200,6.0,районна
Донецька,,1400000000,15.2,Веселе - Патріотичне - Гусельщикове км 0+000 - км 15+200,6.0,районна
Донецька,,1400000000,8.1,Клинкине - Ковське км 0+000 - км 8+100,6.0,районна
Донецька,,1400000000,8.6,Набережне - Приморське км 0+000 - км 8+600,6.0,районна
Донецька,,1400000000,1.7,Від /М-14/ - Олексіївка км 0+000 - км 1+700,6.0,районна
Донецька,,1400000000,1.3,Від /М-14/ - х. Заготівельний км 0+000 - км 1+300,4.5,районна
Донецька,,1400000000,2.1,Черненки - /Маріуполь - Маркине/ км 0+000 - км 2+100,4.5,районна
Донецька,,1400000000,3.0,Соснівське - /Т-05-19/ км 0+000 - км 3+000,6.0,районна
Донецька,,1400000000,1.3,Від /М-14/ - Ванюшкине км 0+000 - км 1+300,6.0,районна
Донецька,,1400000000,1.2,Кузнеці - /М-14/ - Маркине - Федорівка км 0+000 - км 1+200,6.0,районна
Донецька,,1400000000,1.3,Нововибоєве - /Т-05-19/ км 0+000 - км 1+300,4.5,районна
Донецька,,1400000000,1.0,Олександрівське - Шурупове км 0+000 - км 1+000,6.0,районна
Донецька,,1400000000,9.7,Хрещатицьке - Порохня км 0+000 - км 9+700,6.0,районна
Донецька,,1400000000,3.6,Чумаки - Шевченко км 0+000 - км 3+600,6.0,районна
Донецька,,1400000000,10.7,Заїченко - Саханка км 0+000 - км 10+700,6.0,районна
Донецька,,1400000000,9.1,Холодне - Сєдове км 0+000 - км 9+100,6.0,районна
Донецька,,1400000000,3.7,Пікузи - Водяне км 0+000 - км 3+700,6.0,районна
Донецька,,1400000000,2.6,Сєдово - Василівка - Олександрівське км 0+000 - км 2+600,6.0,районна
Донецька,,1400000000,46.3,Маріуполь - Маркине км 0+000 - км 46+300,6.0,районна
Донецька,,1400000000,9.6,Від /Новоазовськ - Хрещатицьке / - /Т-05-19/ км 0+000 - км 9+600,6.0,районна
Донецька,,1400000000,16.2,Хрещатицьке - Безіменне км 0+000 - км 16+200,6.0,районна
Донецька,,1400000000,7.9,Талаківка - Пікузи км 0+000 - км 7+900,6.0,районна
Донецька,,1400000000,10.4,Від /М-14/ - Виноградне км 0+000 - км 10+400,6.0,районна
Донецька,,1400000000,5.6,Приморське - Калинівка - Маріуполь км 0+000 - км 5+600,6.0,районна
Донецька,,1400000000,8.0,Хомутове - Самійлове км 0+000 - км 8+000,6.0,районна
Донецька,,1400000000,2.3,Від /М-14/ - Широкине км 0+000 - км 2+300,6.0,районна
Донецька,,1400000000,4.4,Від /Т-05-08/ - Хомутове км 0+000 - км 4+400,6.0,районна
Донецька,,1400000000,2.8,Лебединське - /М-14/ км 0+000 - км 2+800,6.0,районна
Донецька,,1400000000,2.0,Від /М-14/ - Бердянське км 0+000 - км 2+000,6.0,районна
Донецька,,1400000000,3.5,Від /Т-05-19/ - Лебединське км 0+000 - км 3+500,6.0,районна
Донецька,,1400000000,5.2,Від /М-14/ - Піонерське км 0+000 - км 5+200,6.0,районна
Донецька,,1400000000,2.5,Полтавка - /М-14/ км 0+000 - км 2+500,6.0,районна
Донецька,,1400000000,19.8,Федорівка - Маркине - /М-14/ км 0+000 - км 19+800,6.0,районна
Донецька,,1400000000,3.4,Талаківка - /Т-05-19/ км 0+000 - км 3+400,6.0,районна
Донецька,,1400000000,3.1,Зажиточне - Павлопіль - Пищевик км 0+000 - км 3+100,6.0,районна
Донецька,,1400000000,2.6, Від /Т-05-08/ під`їзд до м. Новоазовська,6.0,районна
Донецька,,1400000000,2.2,Мангуш - Глибоке - /О0545/ км 0+000 - км 2+200,4.5,районна
Донецька,,1400000000,2.1,Мангуш - Огороднє - /О0545/ км 0+000 - км 2+100,6.0,районна
Донецька,,1400000000,2.6,Червоне - /О0545/ км 0+000 - км 2+600,7.0,районна
Донецька,,1400000000,1.7,Бурякова Балка - /О0545/ км 0+000 - км 1+700,6.0,районна
Донецька,,1400000000,2.4,Від /О0545/ -Авангард км 0+000 - км 2+400,7.0,районна
Донецька,,1400000000,9.2,Ялта - Білосарайська Коса км 0+000 - км 9+200,6.0,районна
Донецька,,1400000000,4.0,Від /О0545/ - Нова Ялта км 0+000 - км 4+000,7.0,районна
Донецька,,1400000000,3.9,Від /О0545/ - Юр'ївка км 0+000 - км 3+900,6.0,районна
Донецька,,1400000000,4.1,Нова Петрівка - Урзуф км 0+000 - км 4+100,6.0,районна
Донецька,,1400000000,1.5,Під'їзд до Бабах-Тарами км 0+000 - км 1+500,6.0,районна
Донецька,,1400000000,6.3,Захарівка - /на Старченкове/ км 0+000 - км 6+300,7.0,районна
Донецька,,1400000000,3.8,Українка - Комишувате км 0+000 - км 3+800,6.0,районна
Донецька,,1400000000,9.3,Приазовське - Бердянське км 0+000 - км 9+300,6.0,районна
Донецька,,1400000000,2.3,Мангуш - Ялта км 0+000 - км 2+300,6.0,районна
Донецька,,1400000000,4.4,Від /О0545/ - під'їзд до Урзуфу км 0+000 - км 4+414,6.0,районна
Донецька,,1400000000,3.9,Від /М-14/ - Дем'янівка км 0+000 - км 3+900,6.0,районна
Донецька,,1400000000,6.9,Від /Н-08/ - Приміське - Бердянське -/М-14/ км 0+000 - км 6+900,4.5,районна
Донецька,,1400000000,9.7,Від /М-14/ - Широка Балка - Маріуполь км 0+000 - км 9+700,6.0,районна
Донецька,,1400000000,1.8,Бердянське - /М-14/ км 0+000 - км 1+800,6.0,районна
Донецька,,1400000000,26.0,Захарівка - Польове км 0+000 - км 26+000,6.0,районна
