region,p6_08_raw
Івано-Франківська,0.12462006079027356
Волинська,0.16119402985074627
Вінницька,0.4202586206896552
Дніпропетровська,0.28905109489051095
Донецька,0.43291139240506327
Житомирська,0.36341463414634145
Закарпатська,0.1292517006802721
Запорізька,0.38366336633663367
Київська,0.3572938689217759
Кіровоградська,0.36947791164658633
Луганська,0.4782608695652174
Львівська,0.1426086956521739
Миколаївська,0.48424068767908307
Одеська,0.33271375464684017
Полтавська,0.49872122762148335
Рівненська,0.19346049046321526
Сумська,0.47096774193548385
Тернопільська,0.21951219512195122
Харківська,0.37815126050420167
Херсонська,0.40853658536585363
Хмельницька,0.3819628647214854
Черкаська,0.4402035623409669
Чернівецька,0.16538461538461538
Чернігівська,0.47928994082840237
