region,p6_05_raw,p6_06_raw,p6_07_raw
Івано-Франківська,13.387990994154555,0.2770034843205575,0.007136925315167371
Волинська,11.864356701059627,0.35660377358490564,0.008038932697469792
Вінницька,10.409141957390894,0.500709219858156,0.01179235385454698
Дніпропетровська,11.877058869443315,0.15270935960591134,0.003394172648281073
Донецька,10.32310486207183,0.2158859470468432,0.004064245892801071
Житомирська,10.381402848859608,0.46459412780656306,0.013025907483582304
Закарпатська,14.052287946832113,0.18627450980392157,0.0046689078994624576
Запорізька,11.50770151290454,0.27722772277227725,0.005219476641666471
Київська,12.021705708690174,0.3152,0.00392189080971695
Кіровоградська,10.156656773784244,0.2706270627062706,0.004816786397229831
Луганська,9.723728350383976,0.4743083003952569,0.014207157666997206
Львівська,11.559433599291692,0.36764705882352944,0.00843970074256822
Миколаївська,11.052077890106741,0.35201793721973096,0.01223833890134055
Одеська,13.250035135041184,0.23597122302158274,0.006073496908991597
Полтавська,10.270878424582119,0.45504587155963305,0.012681883957853097
Рівненська,13.688289512616462,0.266173752310536,0.008013968750940783
Сумська,10.062397426538135,0.4792746113989637,0.017481023219845744
Тернопільська,10.254006857518188,0.4991394148020654,0.0184865951983336
Харківська,10.449259601465505,0.2888243831640058,0.009491638874079148
Херсонська,12.826772449431546,0.23224043715846995,0.004889169909786355
Хмельницька,10.173437128472413,0.49391304347826087,0.01288056206088993
Черкаська,10.451283023488172,0.3967280163599182,0.012486150174720873
Чернівецька,14.690046898021214,0.17955801104972377,0.0028127823260405897
Чернігівська,10.551339925009668,0.5631929046563193,0.0181218090866897
