region,p1_02_raw,p1_01_raw,p1_03_raw,p1_04_raw
Вінницька,0.0,0.0,0.726933331124023,0.46547178001320183
Волинська,0.0,6.272502858011563,0.6548937551623816,0.8987824544166384
Дніпропетровська,0.0,6.3077399513819765,0.6534752097973557,0.6108560961686429
Донецька,0.0,0.6477516109325132,0.6226322781424293,0.726443446789016
Житомирська,0.0,0.27852411289330087,0.6674634163912626,0.8144453919182537
Закарпатська,0.0,0.0,0.6996420161991256,0.8125361410681142
Запорізька,0.0,9.877175387488387,0.6021852303402648,0.6391243774862483
Івано-Франківська,0.0,2.62892932083869,0.677687320141557,0.768023326385981
Київська,0.0,0.0,0.6815445550119661,0.5461315614452265
Кіровоградська,0.0,0.0,0.4699548435708829,0.8806169042775284
Луганська,0.0,0.24023162757265043,0.6287181016530046,0.8614223710566905
Львівська,0.0,11.007798715678302,0.8646660324524139,0.7680332977187552
Миколаївська,0.0,14.8729806902206,0.5867280365590795,0.7573871788543013
Одеська,0.0,6.9966718154949605,0.6802947012677956,0.554152988825717
Полтавська,0.0,0.0,0.6330296675582926,0.5805521335299191
Рівненська,0.0,0.0,0.5760546766233133,0.7834953665731954
Сумська,0.0,0.0,0.449978996305826,0.766433059827712
Тернопільська,0.0,0.37406786009332355,0.7327178457805991,0.6090198373151244
Харківська,0.0,0.0,0.6374931951855298,0.7275441678267481
Херсонська,0.0,16.208143559586308,0.6202900577870055,0.7615067173222585
Хмельницька,0.0,0.0,0.6767816896982349,0.8490597383710187
Черкаська,0.0,0.0,0.5761273570248624,0.7717425255683535
Чернівецька,0.0,4.063228781569062,0.7868518232783505,0.7276465799137535
Чернігівська,0.0,0.0,0.7019694642465638,0.7375802245910145
м.Київ,,,,
