region,p3_01_raw,p3_02_raw
Вінницька,70858418.09,13941219.49
Волинська,1901379.35,1743400.1
Дніпропетровська,35901621.1,19031072.07
Донецька,21955763.54,1809114.0
Житомирська,1874921.0,4165501.58
Закарпатська,18292725.5,7909902.05
Запорізька,6837176.07,3248542.8
Івано-Франківська,41458689.06999999,13431146.31
Київська,428885075.78,1119649422.52
Кіровоградська,3120275.5,342983.0
Луганська,149689.22,1027770.81
Львівська,212116821.84,109152707.91
Миколаївська,,
Одеська,32014092.07,9403564.0
Полтавська,32943636.990000002,5300642.62
Рівненська,36407074.550000004,3935315.25
Сумська,5925314.3,1862022.0
Тернопільська,2926551.77,2884942.05
Харківська,38562787.7,14579875.25
Херсонська,38721205.0,37919239.879999995
Хмельницька,23901226.7,4350382.5
Черкаська,19881960.759999998,7572106.3
Чернівецька,8605200.309999999,36253456.0
Чернігівська,16410144.99,5204468.01
м.Київ,,
