region,p5_01_raw,p5_02_raw,p5_03_raw,p5_07_raw
Вінницька,0.0012403496691640863,0.9571440948867497,,
Волинська,0.0012021676126153704,0.5599461736643768,0.05083668089753763,0.01643835616438356
Дніпропетровська,0.011005524477954207,0.21779993745874013,0.01987155950366611,0.222972972972973
Донецька,0.003143037670398877,0.14039811797715143,0.0178238689142814,0.1710526315789474
Житомирська,0.0018791553575842929,1.525045142181632,0.0267414977876106,0.009259259259259259
Закарпатська,0.000219100837338859,0.13228934898177558,0.02071470822571807,0.006880733944954129
Запорізька,0.002843534050832238,0.27133951926705796,0.006925836387049294,0.1296296296296296
Івано-Франківська,0.0011770120988953184,0.117512055058741,0.05569033755395672,0.03137254901960784
Київська,,,,
Кіровоградська,0.0016400158960116179,0.278810618050058,,
Луганська,0.001171794980461202,0.376058192595104,,
Львівська,0.0022383953843032,0.21345714937209873,,
Миколаївська,0.002545705283997985,0.36074129145587286,0.02266294414180015,0.1079136690647482
Одеська,0.004620743199447266,0.14025628058378978,0.01418556802761933,0.009345794392523364
Полтавська,0.0016601769611211499,0.2749471916117375,0.0349073645123139,0.0136986301369863
Рівненська,0.0008060319016662084,0.9572577954541771,0.05650781643138624,0.2318339100346021
Сумська,0.0003750065689211204,0.927787412195421,,
Тернопільська,0.0016092633219972467,0.24312448531861527,,
Харківська,0.1007589608887265,0.016316689736794315,,
Херсонська,0.009177197499319459,0.2620137639455644,,
Хмельницька,0.0015347171624784906,0.9858878364621927,,
Черкаська,0.0006458690636220323,0.7268484697582884,,
Чернівецька,0.0016067655022122434,0.27974559202271676,,
Чернігівська,0.0001853320766337872,0.9965019629350202,,
м.Київ,,,,
