region,p7_01_raw,p7_02_raw,p7_06_raw,p7_07_raw,p7_03_raw
Вінницька,0.007981300952055185,0.015926807432801275,0.004340895691857545,370.0,0.9873967840069535
Волинська,0.0016318284248970393,0.015221463303880575,0.004744290768735928,12.0,0.9499666444296198
Дніпропетровська,0.0029151146380399324,0.004497487675838945,0.0011635527778041622,2544.0,0.9055944055944056
Донецька,0.0029801817910892563,0.036411706837186426,0.004902443023446466,2633.0,0.8970349309504468
Житомирська,0.00021480738937419447,0.016337855972797303,0.003963876193341643,51.0,0.9558823529411765
Закарпатська,0.00029190262128553915,0.011331283220984461,0.004248212940146223,480.0,0.861285645239246
Запорізька,0.010570824524312896,0.028549346573610006,0.0055154808187737134,533.0,0.9100133511348465
Івано-Франківська,0.0016279188075494734,0.012309581591181545,0.005133517399240624,233.0,0.8803724928366762
Київська,0.024266365688487584,,,61.0,0.9227300060132291
Кіровоградська,0.0023261996543931943,0.018779561862086135,0.008176188698033358,448.0,0.9323953328757721
Луганська,0.004004843066033343,0.032650321163205834,0.009047495537280868,0.0,0.9581856839121191
Львівська,0.00039755607633076666,0.0047496335465501294,0.001974260210472012,237.0,0.9307107733571748
Миколаївська,0.0,0.010956049868916644,0.002215251462523898,1360.0,0.8632688927943761
Одеська,0.002135292107960369,0.024677000932895425,0.0042862072050197444,3115.0,0.8738408037094282
Полтавська,0.004150142949368256,0.02353800015784074,0.005682266593007655,293.0,0.9544131910766246
Рівненська,0.0019252984212552945,0.003812154271074558,0.001246355180452227,348.0,0.9789473684210527
Сумська,0.0016159835463493463,0.03175167386190316,0.004834164878628855,319.0,0.9298928919182083
Тернопільська,0.00036080821039127645,0.011403858617079616,0.0032155142330126127,0.0,0.9322916666666666
Харківська,0.0020612018392262565,0.024834667489547598,0.004253568338446086,1604.0,1.012393848978655
Херсонська,0.0012390614109811817,0.014551423182847628,0.004379631164034942,768.0,0.9693877551020408
Хмельницька,0.002090378112511528,0.018359265459427766,0.005204836886785238,694.0,0.893687707641196
Черкаська,0.0037724727379899793,0.024660544990593978,0.003433353821701528,388.0,0.9385039008719596
Чернівецька,0.0024868748273003593,0.024425131072290992,0.00608044901777362,731.0,0.9989451476793249
Чернігівська,0.005803167958902154,0.007820641698407281,0.003098744823897225,0.0,0.9333333333333333
м.Київ,,,,,
,,,,,
