region,p3_01,p3_02,P3
Вінницька,0.1649239393028375,0.012148805733514253,0.8853637251817588
Волинська,0.004085713903988323,0.0012511471841442732,0.02668430544066298
Дніпропетровська,0.08338927226618521,0.016696132899953784,0.500427025830695
Донецька,0.05086138211021758,0.0013098566650154638,0.2608561938761652
Житомирська,0.004024001363271096,0.0034150778062522697,0.03719539584761683
Закарпатська,0.042317561947877495,0.006760364081569097,0.24538963014723297
Запорізька,0.015598168613180502,0.0025958573071785517,0.09097012960179528
Івано-Франківська,0.09635080552003596,0.011693101056054577,0.5402195328804527
Київська,1.0,1.0,10.0
Кіровоградська,0.006928717276721168,0.0,0.03464358638360584
Луганська,0.0,0.0006117965427713097,0.0030589827138565485
Львівська,0.4944008338587092,0.09721173850894813,2.9580628618382865
Миколаївська,,,
Одеська,0.07432184011137298,0.008094817183295678,0.41208328647334325
Полтавська,0.07648994880764434,0.004429224602804955,0.4045958670522465
Рівненська,0.08456821262390926,0.003209426947941553,0.43888819785925404
Сумська,0.013471304821235517,0.0013571252218037985,0.07414215021519657
Тернопільська,0.0064768681033782315,0.0022710126201811952,0.043739403617797136
Харківська,0.08959628639056653,0.012719387423613239,0.5115783690708988
Херсонська,0.08996578539850024,0.03357101822456599,0.6176840181153311
Хмельницька,0.055399060176890856,0.0035802523406534862,0.2948965625877217
Черкаська,0.046024359450064986,0.00645857384962434,0.26241466649844664
Чернівецька,0.019721980865268933,0.03208278960263977,0.2590238523395435
Чернігівська,0.03792655395316759,0.0043433012072054055,0.21134927580186497
м.Київ,,,
