region,p1_01,p1_02,p1_03,p1_04,P1
Вінницька,0.0,0.0,0.726933331124023,0.46547178001320183,2.981012777843062
Волинська,0.3869969953654372,0.0,0.6548937551623816,0.8987824544166384,4.851683012361143
Дніпропетровська,0.38917103172196815,0.0,0.6534752097973557,0.6108560961686429,4.133755844219917
Донецька,0.03996457759342836,0.0,0.6226322781424293,0.726443446789016,3.4726007563121843
Житомирська,0.01718420816482513,0.0,0.6674634163912626,0.8144453919182537,3.7477325411858535
Закарпатська,0.0,0.0,0.6996420161991256,0.8125361410681142,3.7804453931680992
Запорізька,0.6093958479067475,0.0,0.6021852303402648,0.6391243774862483,4.626763639333151
Івано-Франківська,0.16219805255141695,0.0,0.677687320141557,0.768023326385981,4.019771747697387
Київська,0.0,0.0,0.6815445550119661,0.5461315614452265,3.0691902911429816
Кіровоградська,0.0,0.0,0.4699548435708829,0.8806169042775284,3.376429369621028
Луганська,0.014821662128638132,0.0,0.6287181016530046,0.8614223710566905,3.7624053370958332
Львівська,0.6791523455607437,0.0,0.8646660324524139,0.7680332977187552,5.779629189329782
Миколаївська,0.917623948451763,0.0,0.5867280365590795,0.7573871788543013,5.654347909662859
Одеська,0.43167632306395626,0.0,0.6802947012677956,0.554152988825717,4.165310032893672
Полтавська,0.0,0.0,0.6330296675582926,0.5805521335299191,3.0339545027205297
Рівненська,0.0,0.0,0.5760546766233133,0.7834953665731954,3.3988751079912713
Сумська,0.0,0.0,0.449978996305826,0.766433059827712,3.041030140333845
Тернопільська,0.023079007087895707,0.0,0.7327178457805991,0.6090198373151244,3.412041725459048
Харківська,0.0,0.0,0.6374931951855298,0.7275441678267481,3.412593407530695
Херсонська,1.0,0.0,0.6202900577870055,0.7615067173222585,5.954491937773161
Хмельницька,0.0,0.0,0.6767816896982349,0.8490597383710187,3.814603570173134
Черкаська,0.0,0.0,0.5761273570248624,0.7717425255683535,3.36967470648304
Чернівецька,0.25069057209614026,0.0,0.7868518232783505,0.7276465799137535,4.41297243822061
Чернігівська,0.0,0.0,0.7019694642465638,0.7375802245910145,3.598874222093946
м.Київ,,,,,
