region,p7_01,p7_02,p7_06,p7_07,p7_03,P7
Вінницька,0.32890384388469274,0.43740897684410657,0.004340895691857545,0.1187800963081862,0.9873967840069535,3.753661193471593
Волинська,0.06724651090505938,0.41803762103058706,0.004744290768735928,0.0038523274478330658,0.9499666444296198,2.8876947891636706
Дніпропетровська,0.12012984043271535,0.12351762843607667,0.0011635527778041622,0.81669341894061,0.9055944055944056,3.9341976923632234
Донецька,0.12281121241418982,1.0,0.004902443023446466,0.8452648475120386,0.8970349309504468,5.740026867800243
Житомирська,0.00885206265049006,0.44869788845250813,0.003963876193341643,0.01637239165329053,0.9558823529411765,2.8675371437816137
Закарпатська,0.012029103370185474,0.31119890291471,0.004248212940146223,0.15409309791332262,0.861285645239246,2.685709924755221
Запорізька,0.4356163036530803,0.7840705381175163,0.0055154808187737134,0.171107544141252,0.9100133511348465,4.612646435730937
Івано-Франківська,0.06708539830180621,0.33806659067709666,0.005133517399240624,0.07479935794542536,0.8803724928366762,2.73091471432049
Київська,1.0,,,0.01958266452648475,0.9227300060132291,
Кіровоградська,0.0958610648275521,0.5157561535376036,0.008176188698033358,0.14382022471910114,0.9323953328757721,3.3920179293161246
Луганська,0.16503678867467636,0.8966984522093544,0.009047495537280868,0.0,0.9581856839121191,4.057936840666861
Львівська,0.01638300854088648,0.13044248564858377,0.001974260210472012,0.07608346709470305,0.9307107733571748,2.3111879897036403
Миколаївська,0.0,0.30089360869311094,0.002215251462523898,0.43659711075441415,0.8632688927943761,3.20594972740885
Одеська,0.08799389803036683,0.6777216196768172,0.0042862072050197444,1.0,0.8738408037094282,5.287685057243264
Полтавська,0.17102449549489648,0.6464404501302293,0.005682266593007655,0.09406099518459068,0.9544131910766246,3.7432427969586977
Рівненська,0.079340204708474,0.10469584104146674,0.001246355180452227,0.11171749598715891,0.9789473684210527,2.5518945306772087
Сумська,0.06659355451467538,0.8720182770854322,0.004834164878628855,0.10240770465489567,0.9298928919182083,3.951493186103681
Тернопільська,0.01486865462356609,0.3131920914356347,0.0032155142330126127,0.0,0.9322916666666666,2.52713585391776
Харківська,0.08494068974671923,0.682051725852756,0.004253568338446086,0.5149277688603532,1.012393848978655,4.597135203553859
Херсонська,0.05106085628508498,0.3996358437113033,0.004379631164034942,0.2465489566613162,0.9693877551020408,3.342026085847561
Хмельницька,0.08614302361326576,0.504213261452437,0.005204836886785238,0.22279293739967898,0.893687707641196,3.4240835339867255
Черкаська,0.15546096957484287,0.6772696787014867,0.003433353821701528,0.1245585874799358,0.9385039008719596,3.798452980899853
Чернівецька,0.10248237660409854,0.6708043427216155,0.00608044901777362,0.2346709470304976,0.9989451476793249,4.02596652610662
Чернігівська,0.239144502864526,0.2147837159454509,0.003098744823897225,0.0,0.9333333333333333,2.780720593934415
м.Київ,,,,,,
,,,,,0.0,
