region,p6_05_raw,p6_06_raw,p6_07_raw,p6_08_raw,p6_01_raw,p6_10_raw
Вінницька,10.409141957390895,0.500709219858156,0.01179235385454698,0.4202586206896552,0.8635312924335935,0.36006683375104426
Волинська,11.864356701059627,0.35660377358490564,0.008038932697469792,0.16119402985074627,0.8466361664863501,0.2627599243856333
Дніпропетровська,11.877058869443314,0.15270935960591134,0.003394172648281073,0.2890510948905109,0.806034191670017,0.3352021245205075
Донецька,10.32310486207183,0.2158859470468432,0.004064245892801071,0.4329113924050633,0.336413403933104,0.4446494464944649
Житомирська,10.381402848859606,0.4645941278065631,0.013025907483582304,0.3634146341463415,0.839417778271886,0.5358851674641149
Закарпатська,14.052287946832113,0.1862745098039216,0.0046689078994624576,0.1292517006802721,0.8146266484068991,0.5206684256816183
Запорізька,11.50770151290454,0.27722772277227725,0.0052194766416664715,0.3836633663366337,0.8004163860943924,0.5533484676503972
Івано-Франківська,13.387990994154556,0.2770034843205575,0.00713692531516737,0.12462006079027355,0.8263428921895104,0.34913112164297
Київська,12.021705708690176,0.3152,0.00392189080971695,0.3572938689217759,0.87601598085797,0.5580786026200873
Кіровоградська,10.156656773784244,0.2706270627062706,0.0048167863972298315,0.3694779116465863,0.7679280844562522,0.8174273858921162
Луганська,9.723728350383977,0.4743083003952569,0.014207157666997206,0.4782608695652174,0.23008117080289645,0.2360655737704918
Львівська,11.559433599291694,0.36764705882352944,0.00843970074256822,0.1426086956521739,0.8516553186926464,0.5147113594040968
Миколаївська,11.05207789010674,0.35201793721973096,0.01223833890134055,0.4842406876790831,0.7568909969572222,0.38205980066445183
Одеська,13.250035135041184,0.23597122302158274,0.006073496908991597,0.33271375464684017,0.7185769942263698,0.29666212534059944
Полтавська,10.270878424582119,0.455045871559633,0.012681883957853095,0.4987212276214834,0.8345715972918412,0.25949820788530464
Рівненська,13.688289512616462,0.266173752310536,0.008013968750940783,0.19346049046321528,0.836870327014576,0.2533136966126657
Сумська,10.062397426538137,0.4792746113989637,0.017481023219845744,0.4709677419354839,0.8396597251958862,0.46868008948545864
Тернопільська,10.254006857518188,0.4991394148020654,0.0184865951983336,0.2195121951219512,0.8245539757137498,0.2908350305498982
Харківська,10.449259601465505,0.2888243831640058,0.009491638874079148,0.3781512605042017,0.8019578247982347,0.2038404726735598
Херсонська,12.826772449431546,0.23224043715846995,0.004889169909786354,0.4085365853658536,0.792540715246359,0.39781328847771236
Хмельницька,10.173437128472411,0.4939130434782609,0.01288056206088993,0.3819628647214854,0.8482669183679662,0.49548810500410173
Черкаська,10.451283023488172,0.3967280163599182,0.012486150174720871,0.4402035623409669,0.819352206627664,0.43617021276595747
Чернівецька,14.690046898021214,0.17955801104972374,0.0028127823260405893,0.16538461538461538,0.808749194927488,0.29918032786885246
Чернігівська,10.551339925009668,0.5631929046563193,0.0181218090866897,0.4792899408284024,0.8288837002648627,0.23940149625935161
м.Київ,,,,,,0.37695399732023227
