region,p4_02,p4_03,p4_05,p4_07,p4_08,P4
Вінницька,0.9444444444444444,0.7982155113246396,0.07569014601921475,0.418,0.7888641670470368,6.050428537670671
Волинська,1.0,0.8789323164918971,0.05997353105373099,0.48497448111835284,0.5840866036843844,6.015933864696731
Дніпропетровська,0.95,0.5435540069686411,0.12555872015982492,0.4464285714285715,0.7927560593607058,5.716594715835487
Донецька,0.8928571428571429,0.4439461883408072,0.0672225569696493,0.6021276926994323,0.5679760230517196,5.148259207837502
Житомирська,0.75,0.3031446540880503,0.08640112303921983,0.6354090881347656,0.6460743248711345,4.842058380266341
Закарпатська,1.0,0.9291882556131261,0.0,0.558740950180934,0.4715498805826162,5.918958172753353
Запорізька,1.0,0.5873563218390805,0.05980455728476377,0.4040000012003142,0.7836730832319131,5.669667927112144
Івано-Франківська,1.0,1.0,0.0998328848498654,0.5833333333333335,0.4761981855088591,6.318728807384116
Київська,0.0,0.8287243532560215,0.0,0.4927494395862926,0.7603709126888641,4.163689411062356
Кіровоградська,0.9166666666666666,0.6883720930232559,0.16484006256243677,0.2722727272727273,0.4783206673059987,5.040944433662171
Луганська,1.0,0.7069306930693069,0.1276504789651496,0.6000816087722778,0.5575626898226791,5.984450941258826
Львівська,0.85,0.5475550779150994,0.06517928736675704,0.47924000091552726,0.8237183350171421,5.531385402429052
Миколаївська,1.0,0.7559322033898305,0.1347998633810222,0.4855,0.599294959900803,5.951054053343309
Одеська,0.36363636363636365,0.01157613535173642,0.042220727878885145,0.4033448245607573,0.9601208010074157,3.561797704870316
Полтавська,0.9,0.5534967124925284,0.07092341625648717,0.5325599999904632,0.7476017874675019,5.609163832413961
Рівненська,1.0,0.7807807807807807,0.1155673483998457,0.47130434782608704,0.48669809382815754,5.708701141669742
Сумська,1.0,0.5024088093599449,0.05921113033393902,0.34991666667163374,0.34538249749666833,4.513838207724372
Тернопільська,0.9444444444444444,0.7365805168986084,1.0,0.5227272727272727,0.8843164058438735,8.176137279828398
Харківська,1.0,0.50210716435882,0.05877727397588494,0.4956666666666667,0.5231640926234197,5.159430395249583
Херсонська,1.0,0.5287878787878788,0.17471976879802628,0.6792307692307692,0.7357860122216551,6.237048858076658
Хмельницька,1.0,0.2704802259887006,0.1526023235072916,0.5532199996948242,0.5572423087585876,5.067089715898808
Черкаська,1.0,0.8525402726146221,0.19270550883086865,0.450628571340016,0.5427103306160613,6.077169366803135
Чернівецька,1.0,0.8790931989924433,0.10706082426456072,0.746,0.701763456081462,6.867834958676932
Чернігівська,1.0,0.5381471389645777,0.11369145176704762,0.575083331267039,0.5868043445520396,5.6274525331014065
м.Київ,1.0,0.0,,0.6943636495416814,0.8438954492227899,
